Agency,Agency ID,Program,Program Code,Data Classification,Station ID,Station Name,Lat,Lon
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.1,WQ Sensor; HYDRO Sensor; HYDRO Level,CS1,CS1,-32.1463,115.6976
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.2,WQ Sensor; HYDRO Sensor; HYDRO Level,CS1,CS1,-32.1463,115.6976
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.3,WQ Sensor; HYDRO Sensor; HYDRO Level,CS1,CS1,-32.1463,115.6976
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.4,WQ Sensor; HYDRO Sensor; HYDRO Level,CS1,CS1,-32.1463,115.6976
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.5,WQ Sensor; HYDRO Sensor; HYDRO Level,CS1,CS1,-32.1463,115.6976
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.6,WQ Sensor; HYDRO Sensor; HYDRO Level,CS1,CS1,-32.1463,115.6976
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.7,WQ Sensor; HYDRO Sensor; HYDRO Level,CS2,CS2,-32.184,115.6971
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.8,WQ Sensor; HYDRO Sensor; HYDRO Level,CS3,CS3,-32.2522,115.729
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.9,WQ Sensor; HYDRO Sensor; HYDRO Level,CS3,CS3,-32.2522,115.729
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.10,WQ Sensor; HYDRO Sensor; HYDRO Level,CS3,CS3,-32.2522,115.729
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.11,WQ Sensor; HYDRO Sensor; HYDRO Level,CS3,CS3,-32.2522,115.729
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.12,WQ Sensor; HYDRO Sensor; HYDRO Level,CS3,CS3,-32.2522,115.729
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.13,WQ Sensor; HYDRO Sensor; HYDRO Level,CS3,CS3,-32.2522,115.729
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.14,WQ Sensor; HYDRO Sensor; HYDRO Level,CS1,CS1,-32.1463,115.6976
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.15,WQ Sensor; HYDRO Sensor; HYDRO Level,CS1,CS1,-32.1463,115.6976
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.16,WQ Sensor; HYDRO Sensor; HYDRO Level,CS1,CS1,-32.1463,115.6976
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.17,WQ Sensor; HYDRO Sensor; HYDRO Level,CS1,CS1,-32.1463,115.6976
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.18,WQ Sensor; HYDRO Sensor; HYDRO Level,CS1,CS1,-32.1463,115.6976
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.19,WQ Sensor; HYDRO Sensor; HYDRO Level,CS1,CS1,-32.1463,115.6976
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.20,WQ Sensor; HYDRO Sensor; HYDRO Level,CS1,CS1,-32.1463,115.6976
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.21,WQ Sensor; HYDRO Sensor; HYDRO Level,CS2,CS2,-32.184,115.6971
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.22,WQ Sensor; HYDRO Sensor; HYDRO Level,CS3,CS3,-32.2522,115.729
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.23,WQ Sensor; HYDRO Sensor; HYDRO Level,CS3,CS3,-32.2522,115.729
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.24,WQ Sensor; HYDRO Sensor; HYDRO Level,CS4,CS4,-32.096,115.7392
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.25,WQ Sensor; HYDRO Sensor; HYDRO Level,CS4,CS4,-32.096,115.7392
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.26,WQ Sensor; HYDRO Sensor; HYDRO Level,CS4,CS4,-32.096,115.7392
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.27,WQ Sensor; HYDRO Sensor; HYDRO Level,CS5,CS5,-32.1541,115.7421
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.28,WQ Sensor; HYDRO Sensor; HYDRO Level,CS5,CS5,-32.1541,115.7421
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.29,WQ Sensor; HYDRO Sensor; HYDRO Level,CS6,CS6,-32.2044,115.75
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.30,WQ Sensor; HYDRO Sensor; HYDRO Level,CS6,CS6,-32.2044,115.75
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.31,WQ Sensor; HYDRO Sensor; HYDRO Level,CS6,CS6,-32.2044,115.75
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.32,WQ Sensor; HYDRO Sensor; HYDRO Level,CS7,CS7,-32.24847,115.6853
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.33,WQ Sensor; HYDRO Sensor; HYDRO Level,CS7,CS7,-32.24847,115.6853
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.34,WQ Sensor; HYDRO Sensor; HYDRO Level,CS1,CS1,-32.1463,115.6976
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.35,WQ Sensor; HYDRO Sensor; HYDRO Level,CS1,CS1,-32.1463,115.6976
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.36,WQ Sensor; HYDRO Sensor; HYDRO Level,CS1,CS1,-32.1463,115.6976
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.37,WQ Sensor; HYDRO Sensor; HYDRO Level,CS1,CS1,-32.1463,115.6976
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.38,WQ Sensor; HYDRO Sensor; HYDRO Level,CS1,CS1,-32.1463,115.6976
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.39,WQ Sensor; HYDRO Sensor; HYDRO Level,CS1,CS1,-32.1463,115.6976
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.40,WQ Sensor; HYDRO Sensor; HYDRO Level,CS3,CS3,-32.2522,115.729
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.41,WQ Sensor; HYDRO Sensor; HYDRO Level,CS3,CS3,-32.2522,115.729
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.42,WQ Sensor; HYDRO Sensor; HYDRO Level,CS3,CS3,-32.2522,115.729
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.43,WQ Sensor; HYDRO Sensor; HYDRO Level,CS3,CS3,-32.2522,115.729
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.44,WQ Sensor; HYDRO Sensor; HYDRO Level,CS3,CS3,-32.2522,115.729
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.45,WQ Sensor; HYDRO Sensor; HYDRO Level,CS4,CS4,-32.096,115.7392
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.46,WQ Sensor; HYDRO Sensor; HYDRO Level,CS4,CS4,-32.096,115.7392
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.47,WQ Sensor; HYDRO Sensor; HYDRO Level,CS4,CS4,-32.096,115.7392
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.48,WQ Sensor; HYDRO Sensor; HYDRO Level,CS5,CS5,-32.1541,115.7421
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.49,WQ Sensor; HYDRO Sensor; HYDRO Level,CS5,CS5,-32.1541,115.7421
Western Australian Marine Science Institution,WAMSI,WAMSI Westport Marine Science Program,WWMSP5.50,WQ Sensor; HYDRO Sensor; HYDRO Level,CS6,CS6,-32.2044,115.75
